2,Open,Close,High,Low,Volume,ATR,PL,pl_value,SMA_k7,SMA_k20,SMA_k50
2023-06-08 10:40:00,428.155,428.15,428.26,428.12,104410.0,0.07634075551356208,1,65.00000000005457,0.9999756769571599,1.0000787160087572,1.0003653796844736
2023-06-08 10:41:00,428.155,428.165,428.2,428.1,83591.0,0.07630175994974853,1,15.000000000043201,0.9999940275657536,1.000053721749367,1.0003427082928795
2023-06-08 10:42:00,428.17,428.22,428.2293,428.11,97309.0,0.0707849627560904,0,-29.899999999997817,1.000042408185694,1.0000788300453418,1.0003555506186894
2023-06-08 10:43:00,428.22,428.22,428.26,428.18,71462.0,0.06549690287116389,0,-65.49690287118892,1.000162526327113,1.0001851026794344,1.0004468905752255
2023-06-08 10:44:00,428.22,428.17,428.23,428.1,48782.0,0.047189775930611265,0,-47.189775930633004,1.0001224820897052,1.0001705021873328,1.0004211805410077
2023-06-08 10:45:00,428.18,428.1401,428.28,428.13,73321.0,0.04118256334675856,0,-41.18256334675152,1.0000190510959401,1.0000618936899968,1.0003083345663337
2023-06-08 10:46:00,428.15,428.15,428.15,428.04,70877.0,0.03698563041429892,0,-36.9856304142786,0.9999366083463452,0.999985986416166,1.0002209573714589
2023-06-08 10:47:00,428.14,427.99,428.19,427.93,94266.0,0.03368543135710952,0,-33.68543135712798,0.9999099174243056,0.9999500188480325,1.0001905861363063
2023-06-08 10:48:00,428.0,428.0924,428.11,427.95,84331.0,0.033921249134686735,0,-33.92124913466432,0.999587953563868,0.9996131170260857,0.9998527833581736
2023-06-08 10:49:00,428.0901,428.04,428.1499,428.03,43337.0,0.053725702813993824,0,-53.72570281400613,0.9998500874184206,0.9998223937112076,1.0000636962563305
2023-06-08 10:50:00,428.0425,427.955,428.06,427.9,96757.0,0.05507731794832944,0,-55.07731794830306,0.9997655655733879,0.9997106265227724,0.9999445506372524
2023-06-08 10:51:00,427.965,428.125,428.14,427.96,99398.0,0.060682616950821534,1,91.02392542621374,0.999643756023463,0.9995538425507383,0.9997605844794295
2023-06-08 10:52:00,428.12,428.09,428.12,428.03,91068.0,0.07525305878928579,0,-75.25305878925792,1.0000909040063037,0.9999479729022321,1.000121976008725
2023-06-08 10:53:00,428.085,428.08,428.13,428.06,54217.0,0.07346216389278473,1,110.19324583918433,1.0000291672879453,0.9998755659021609,1.000028532530914
2023-06-08 10:54:00,428.09,428.15,428.18,428.05,58475.0,0.0740315614804864,1,111.0473422207292,1.00006254082758,0.9999018410267253,1.0000350732943784
2023-06-08 10:55:00,428.16,428.255,428.29,428.135,91337.0,0.07429673901708267,1,111.44510852562917,1.000242758575762,1.0000776055176648,1.0001964931984046
2023-06-08 10:56:00,428.255,428.25,428.35,428.23,92184.0,0.07448154581282548,0,-74.48154581283006,1.0004112726070618,1.000301838869664,1.0004083674174071
2023-06-08 10:57:00,428.2501,428.1899,428.2501,428.13,88775.0,0.08201205312113728,0,-82.01205312116144,1.0003447772437675,1.0002722865489218,1.0003833669061055
2023-06-08 10:58:00,428.19,428.11,428.265,428.11,58920.0,0.08751586958130671,0,-87.51586958129565,1.0001351051449368,1.0001248900671942,1.0002322218773005
2023-06-08 10:59:00,428.1101,428.0,428.1101,427.93,99056.0,0.0856642882753062,0,-85.6642882753249,0.9998734130799789,0.9999327671440075,1.000032497369493
2023-06-08 11:00:00,428.0,427.915,428.0465,427.91,83565.0,0.08196155777180551,0,-81.96155777181957,0.9996195706827462,0.9996790983380359,0.9997678342872669
2023-06-08 11:01:00,427.91,427.87,427.98,427.845,141248.0,0.08592145804384835,0,-85.92145804385609,0.9994377147274431,0.9994869778228856,0.9995608715658769
2023-06-08 11:02:00,427.86,427.85,427.87,427.71,147597.0,0.0992272130492586,0,-99.22721304923243,0.9993809552029395,0.9993987863936105,0.9994495855984329
2023-06-08 11:03:00,427.84,428.02,428.04,427.81,71122.0,0.1150079988936532,1,172.51199834049658,0.9994342875159615,0.9993882531095575,0.9994122052795098
2023-06-08 11:04:00,428.03,428.11,428.11,427.99,72213.0,0.12904285666840437,1,193.56428500259426,1.0000166212741226,0.9998764491615163,0.999865845161583
